"Player Code",Name,Country,Active,Provisional,"First Game","Last Game",Highest,Rating,GP,Won,"GP Att","Attack Wins","GP Def","Def Wins","GP Axis","Axis Wins","GP Allies","Allies Wins","Cur Streak","Longest Strk","Max. Decay","Decay to date"
MY2,"Chris MALONEY",USA,0,1,2003-03-28,2003-03-30,1554.1,1320.9,4,3,1,0,3,3,3,2,1,1,3,3,233,233
TYD,"Dave TOLLEY",USA,0,1,2003-03-29,2003-03-30,1500,1241.4,3,1,0,0,3,1,2,1,1,0,0,1,219,219
EOI,"Ivan ESPANO",Spain,0,1,2003-04-12,2003-04-13,1553.5,1314.5,4,3,2,1,1,1,2,1,2,2,1,2,231,231
PDO,"Olivier PAILLARD",France,0,1,2003-04-12,2004-04-11,1500,1217.7,8,2,3,1,5,1,4,1,4,1,0,1,214,214
BIE,"Eric BONGIOVANNI",France,1,0,2003-04-12,2024-06-21,1685.6,1591.5,202,100,66,27,65,31,80,40,59,26,1,4,0,150
H2F,"Frederik HANSSON",Sweden,0,1,2003-05-30,2003-06-01,1500,1177.6,5,0,2,0,3,0,1,0,4,0,0,0,207,207
LZJ,"Johan LANTZ",Sweden,0,0,2003-05-30,2019-11-03,1611.4,1506.3,20,13,10,7,9,6,10,5,6,5,0,7,226,226
LMF,"Frederik LUNDHOLM",Sweden,0,1,2003-05-30,2003-05-30,1500,1232.5,2,0,0,0,2,0,0,0,2,0,0,0,217,217
GNO,"Olle GUSTAFSSON",Sweden,0,0,2003-05-30,2010-09-05,1762.7,1447.9,80,48,22,13,27,18,33,22,22,12,1,7,255,255
MDH,"Häkan MARKLUND",Sweden,0,1,2003-05-30,2003-06-01,1500,1236.9,5,2,2,1,3,1,1,0,4,2,1,1,218,218
DLM,"Matts DAGERHäLL",Sweden,1,0,2003-05-30,2023-11-19,1515.1,1420.6,175,61,42,15,56,18,31,12,58,19,0,3,0,0
WDA,"Antti WESTERLUND",Finland,1,0,2003-05-30,2024-08-25,1697.3,1697.3,46,35,15,10,11,10,18,14,8,6,9,9,0,189
HNV,"Veikko HYYRYNEN",Finland,0,1,2003-05-30,2003-06-01,1512.8,1265.3,5,2,1,0,3,2,3,2,2,0,0,1,223,223
7EB,"Björn DOOLAEGHE",Belgium,0,1,2003-05-30,2003-06-01,1529,1299.6,5,3,4,2,1,1,4,3,1,0,1,2,229,229
MISSING-6,MISSING-6,,0,0,2003-05-30,2014-04-30,1662.7,1287.1,73,39,30,17,27,15,25,16,34,16,0,4,227,227
CEL,"Laurent COUPé",France,0,1,2003-06-07,2003-06-08,1512.5,1285.6,4,2,0,0,0,0,0,0,0,0,1,1,226,226
FSS,"Scott FOSS",USA,0,0,2003-07-25,2010-07-24,1522,1249.5,18,7,8,2,9,5,13,5,5,2,0,2,207,207
ZCM,"Matthew ZAJAC",USA,1,0,2003-07-25,2023-10-06,1576.4,1462.9,84,38,23,10,31,16,32,17,30,12,0,5,0,201
JXD,"Dale JINX",USA,0,1,2003-07-25,2003-07-27,1588.6,1350.3,5,4,1,1,4,3,2,2,3,2,3,3,238,238
WDJ,"Joe WARD",USA,0,1,2003-07-25,2005-07-31,1500,1164.4,10,2,4,0,5,1,4,0,6,2,0,1,205,205
WSP,"Paul WORKS",USA,1,0,2003-07-25,2024-06-13,1924.4,1924.4,140,109,43,31,42,32,70,50,66,56,1,13,0,0
ZMS,"Stefan ZETTERHOLM",Sweden,0,0,2003-09-12,2007-09-08,1500,1089.2,11,0,0,0,0,0,0,0,0,0,0,0,188,188
CSE,"Eric CHAZOTTES",France,0,0,2003-09-12,2005-03-27,1503.1,1186.4,17,5,0,0,4,1,1,0,3,1,0,2,209,209
LYS,"Serge LEMAY",Canada,0,0,2003-09-12,2005-09-18,1550.5,1248.4,14,6,0,0,0,0,0,0,0,0,0,3,220,220
MNO,"Robert MORIESON",Australia,0,1,2003-10-04,2003-10-10,1500,1224.5,9,3,5,2,4,1,7,2,2,1,1,1,216,216
LYA,"Adam LUNNEY",Australia,0,0,2003-10-06,2018-12-20,1504.1,1243,100,28,33,8,47,15,49,16,42,9,1,2,201,111
ANT,"Steve ANDERSON",USA,1,0,2003-10-07,2024-08-03,1600.6,1424.9,169,73,64,23,70,32,63,28,76,29,0,5,0,0
SIJ,"John SIACKNIKI",USA,0,1,2003-10-07,2003-10-07,1500,1262.7,1,0,0,0,1,0,0,0,1,0,0,0,222,222
ISS,"Steve IVES",USA,1,0,2003-10-08,2023-12-02,1532.2,1308.7,28,14,9,4,16,9,10,4,16,9,0,3,0,226
MS1,"Brent MORRIS",usa,1,0,2003-10-08,2024-02-11,1518.3,1444.2,62,28,11,2,8,3,13,4,11,4,0,3,0,132
CN5,"Andrew CULLEN",USA,0,1,2003-10-08,2003-10-10,1500,1195.8,4,0,1,0,1,0,3,0,1,0,0,0,211,211
WS2,"Brian WILLIAMS",USA,0,1,2003-10-08,2003-10-11,1552.4,1319.5,2,2,1,1,0,0,0,0,2,2,2,2,232,232
MLJ,"Jim MEHL",USA,1,0,2003-10-09,2024-07-14,1591.8,1473.8,42,23,17,10,12,7,12,8,17,9,2,4,0,216
YSR,"Randy YEATES",USA,0,0,2003-10-09,2022-05-08,1697.8,1595.6,62,41,23,16,21,13,26,17,24,15,1,6,0,201
PTL,"Lind PRATT",usa,0,1,2003-10-10,2010-10-09,1500,1188.3,7,1,3,0,3,0,5,1,2,0,0,1,209,209
NYI,"Rich NORTHEY",USA,0,0,2003-10-10,2016-04-02,1529.3,1236.7,13,3,2,1,2,0,0,0,4,1,0,2,185,195
FOP,"Paul FERRARO",USA,0,1,2003-10-11,2003-10-11,1500,1271.2,4,2,2,0,1,1,2,1,2,1,0,1,224,224
NHM,"Matt NOAH",usa,1,0,2003-10-11,2024-07-12,1504.4,1319.5,17,6,8,3,9,3,10,3,4,2,0,2,0,223
FNJ,"Jordi FAIREN",Spain,0,0,2003-10-18,2015-10-25,1691.2,1426,25,18,7,5,5,4,7,5,5,4,0,7,246,216
RSD,"David RUESTES",Spain,0,1,2003-10-18,2004-11-14,1568.1,1319.4,8,5,0,0,0,0,0,0,0,0,0,2,232,232
CNP,"P CERDAN",Spain,0,1,2003-10-18,2003-10-19,1500,1190.8,4,0,0,0,0,0,0,0,0,0,0,0,210,210
STR,"Roger SALVAT",Spain,0,1,2003-10-18,2003-10-19,1515,1287.7,4,2,0,0,0,0,0,0,0,0,1,1,227,227
BIM,"Michel BONGIOVANNI",France,1,0,2003-10-18,2024-05-18,1653.9,1488,139,73,48,25,30,15,49,24,33,19,0,5,0,108
BDD,"Dirk BEIJARD",Netherlands,0,0,2003-11-07,2012-11-03,1505.1,1253.8,16,6,3,0,0,0,0,0,3,0,0,2,208,208
GIE,"Edoardo GIARONI",Italy,0,0,2003-11-07,2019-11-09,1505.8,1364.5,93,38,27,13,32,9,28,10,32,12,0,3,215,105
SSH,"Holger SCHIRMANNS",Germany,0,0,2003-11-07,2006-11-05,1500,1253.6,20,7,0,0,0,0,0,0,0,0,2,2,221,221
BIA,"Alberto BISERNI",Italy,1,0,2003-11-07,2024-05-30,1515.3,1379.4,73,26,30,6,21,8,32,10,20,5,3,3,0,96
MiF2,"Fabio Mazzucchelli",Italy,1,0,2003-11-07,2024-05-30,1621.2,1561.5,80,46,23,13,27,17,21,15,32,17,0,7,0,63
TTJ,"John TAIT",UK,1,0,2003-11-08,2024-04-28,1608.5,1459,176,52,51,18,44,14,59,18,64,22,1,5,0,0
COI,"Piergiorgio CAPUTO",Italy,1,0,2004-01-20,2024-06-21,1500,1290.1,34,9,14,4,6,1,10,2,11,3,0,3,0,204
NSO,"Ola NYGåRDS",Norway,1,0,2004-02-01,2024-05-05,1565.7,1407.5,76,35,21,10,24,10,27,13,20,8,1,4,0,6
KNL,"Daniel KALMAN",Israel,1,0,2004-02-01,2024-06-17,1561.4,1515.9,71,29,29,13,12,7,22,12,19,8,0,6,0,36
KNJ,"Josh KALMAN",Israel,1,0,2004-02-01,2023-03-05,1513.5,1443.2,45,18,7,2,3,2,10,4,3,1,1,4,0,117
HEO,"Olav HEIE",Norway,1,0,2004-02-01,2024-03-03,1788.3,1765.8,74,48,21,14,20,14,17,11,17,12,0,9,0,153
AN0,"Andrew ATKIN",Canada,0,1,2004-02-06,2005-03-13,1500,1185.3,6,1,2,0,4,1,2,0,4,1,0,1,209,209
B4B,"Bruce BILLETT",USA,1,0,2004-02-06,2024-02-11,1528.4,1443.7,31,17,4,2,5,3,3,2,6,3,1,5,0,218
MISSING-4,Missing-4,,0,0,2004-02-06,2009-10-31,1500,1328.7,18,9,8,4,10,5,7,4,11,5,2,2,223,223
1AM,"Mike SOFFA",USA,0,0,2004-02-06,2008-02-22,1500,1142.9,15,2,7,1,8,1,5,0,10,2,0,2,201,201
OLV,"Vincent O'CONNELL",USA,0,1,2004-03-19,2004-03-20,1500,1205.3,5,1,1,0,4,1,2,0,3,1,0,1,212,212
TYY,"Yves TROULAY",France,0,1,2004-04-10,2004-04-11,1551.6,1284.9,4,2,2,1,2,1,2,2,2,0,0,2,226,226
HNF,"Frédéric HANNON",France,0,1,2004-04-10,2004-04-10,1500,1238.9,2,0,2,0,0,0,1,0,1,0,0,0,218,218
RUF,"Fabrice RANDEAU",France,0,1,2004-04-10,2013-03-22,1609.2,1422.8,10,8,7,6,2,2,4,4,6,4,3,3,225,225
BRJ,"Jean-Marc BENNER",France,0,1,2004-04-10,2004-04-11,1500,1228.5,4,1,1,0,2,0,1,1,3,0,1,1,216,216
DNT,"Tomas DAVIDSSON",Sweden,1,0,2004-05-21,2024-03-03,1584.6,1403.1,175,66,34,13,51,19,46,13,29,13,0,6,0,0
HGB,"Björn HEDBERG",Sweden,0,1,2004-05-21,2007-05-20,1500,1218.5,4,0,1,0,3,0,3,0,1,0,0,0,215,215
DRG,"Guy DECROLIER",Belgium,1,0,2004-06-29,2024-05-18,1500,1209.2,59,13,10,1,8,1,10,2,12,3,0,2,0,75
RHB,"Brian ROUTH",USA,0,0,2004-07-23,2020-11-14,1666.5,1551,74,44,29,17,31,18,39,26,29,15,0,7,237,33
6RE,"Erika MOSHER",USA,0,1,2004-07-23,2004-07-25,1500,1178.7,5,0,1,0,4,0,2,0,3,0,0,0,208,208
CDO,"Joe CHADWICK",USA,0,0,2004-07-23,2017-07-29,1525.5,1202.3,39,14,25,9,13,5,18,6,20,8,1,2,193,193
HSK,"Ken HUTCHENS",USA,0,1,2004-07-23,2013-01-26,1504,1287.4,7,3,2,1,2,1,3,0,2,2,0,1,193,198
DDR,"Robert DELWOOD",USA,0,1,2004-07-23,2004-07-23,1500,1257.6,1,0,0,0,1,0,1,0,0,0,0,0,221,221
CKM,"Mick CLARK",USA,0,1,2004-07-23,2004-07-24,1500,1243.9,4,1,2,1,2,0,3,1,1,0,0,1,219,219
LRP,"Paul LAUGER",USA,1,0,2004-09-04,2023-09-03,1821,1805.8,126,86,48,30,44,34,49,29,67,51,3,9,0,0
HEL,"Len HILLHOUSE",USA,1,0,2004-09-04,2022-09-03,1500,1226.8,13,3,5,0,6,2,2,2,11,1,0,1,0,194
C3J,"Jon CARPER",USA,0,1,2004-09-04,2004-09-04,1500,1242.4,2,0,2,0,0,0,1,0,1,0,0,0,219,219
HND,"David HANSEN",USA,0,0,2004-09-04,2015-09-05,1548,1281.5,14,7,6,2,7,4,10,6,4,1,0,3,219,219
KAJ,"Jeff KOUBA",USA,1,0,2004-09-04,2023-09-02,1606,1495.2,78,38,17,10,39,19,42,17,33,19,0,6,0,0
LZB,"Byron LUKOWICZ",USA,0,0,2004-09-04,2015-09-06,1543.5,1274.6,29,12,8,2,16,7,11,2,18,10,1,3,224,222
HL1,"Burnie HEGDAHL",USA,1,0,2004-09-04,2023-09-01,1569.7,1372.7,69,29,29,11,27,10,32,16,36,13,0,4,0,0
NN1,"Carl NARDIN",USA,1,0,2004-09-04,2023-09-03,1803.2,1659.1,64,45,27,17,24,19,31,21,32,24,0,7,0,72
ENT,"Tobias ELIASSON",Sweden,0,1,2004-09-04,2005-08-27,1500,1131.5,7,0,0,0,0,0,0,0,0,0,0,0,199,199
TNS,"Staffan THOREN",Sweden,0,1,2004-09-04,2006-08-26,1504.5,1236.3,8,3,1,0,0,0,0,0,1,0,0,1,218,218
STJ,"Johan SJöKVIST",Sweden,0,1,2004-09-05,2005-08-26,1516.6,1248.2,7,3,3,1,2,0,3,0,2,1,2,2,220,220
RSJ,"Jamie ROBERTS",Canada,0,0,2004-09-17,2006-09-24,1701.5,1446.2,16,13,0,0,0,0,0,0,0,0,1,7,255,255
FAP,"Paulo FERREIRA",Portugal,0,0,2004-09-17,2012-06-17,1540.6,1346.9,16,7,5,2,4,2,8,3,1,1,2,3,223,223
VNS,"Boudewijn VAN SCHALKWIJK",Netherlands,0,0,2004-09-17,2009-11-08,1680.7,1388.3,72,40,7,3,4,3,9,4,2,2,1,4,245,245
NNS,"Stefan NILSSON",Sweden,0,0,2004-09-17,2018-11-02,1586.3,1372.7,111,46,20,13,31,12,30,11,22,14,0,5,221,129
DRA,"Albrecht DEKKER",Netherlands,0,0,2004-09-17,2012-09-23,1731.1,1439.8,47,30,13,7,6,3,11,6,9,5,0,4,254,254
NOB,"Bruno NITROSSO",France,1,0,2004-09-17,2024-05-18,1846.2,1663.1,179,124,62,42,51,37,64,45,71,51,0,13,0,0
PIB,"Bernardo PIGNATELLI",Portugal,0,1,2004-09-17,2004-10-01,1500,1201.9,4,0,0,0,0,0,0,0,0,0,0,0,212,212
MSR,"Roderick MOOLENAARS",Netherlands,0,0,2004-09-17,2012-09-23,1505.6,1279.8,53,18,13,6,12,2,10,2,17,8,0,2,225,225
VNP,"Albert VAN POPPEL",Netherlands,0,0,2004-09-17,2010-11-07,1556,1322.6,60,28,2,1,4,4,3,2,4,3,4,4,233,233
BOV,"Vincent BOYKO",Canada,0,1,2004-09-17,2004-10-01,1500,1222.2,5,1,0,0,0,0,0,0,0,0,0,1,215,215
MEC,"Chris MILNE",UK,0,1,2004-09-17,2004-10-01,1526.7,1282,5,2,0,0,0,0,0,0,0,0,1,1,226,226
OSM,"Michiel OTTEN",Netherlands,0,0,2004-09-17,2010-11-07,1561.9,1327.6,68,33,3,2,3,2,4,3,2,1,3,4,234,234
WYT,"Todd WILEY",USA,0,1,2004-10-02,2010-10-07,1500,1193.2,6,0,2,0,4,0,2,0,4,0,0,0,191,191
DRJ,"John DOBER",USA,0,0,2004-10-03,2018-04-20,1500,1311.1,39,14,10,3,17,6,17,6,13,4,0,3,215,126
WZM,"Mark WALZ",USA,0,1,2004-10-05,2004-10-08,1531.8,1268.4,4,2,3,1,1,1,1,0,3,2,0,2,223,223
MDO,"John MCDIARMID",Canada,1,0,2004-10-06,2023-12-02,1865.5,1705.5,145,95,54,37,14,9,40,27,34,22,1,6,0,0
BSK,"Kevin BOLES",USA,0,0,2004-10-07,2019-10-12,1676.7,1657.8,34,27,4,3,10,6,14,12,17,13,17,17,251,251
TAD,"Don TORRENGA",USA,0,1,2004-10-08,2010-04-10,1520.4,1228.4,9,3,1,0,3,1,2,1,2,0,1,1,204,204
STB,"Barry SWIFT",USA,0,1,2004-10-08,2004-10-08,1500,1263.4,1,0,1,0,0,0,1,0,0,0,0,0,222,222
SAJ,"Jordi SOLA",Spain,0,1,2004-11-13,2004-11-14,1500,1224.3,4,1,0,0,0,0,0,0,0,0,0,1,216,216
CET,"Toni CARBONIE",Spain,0,1,2004-11-13,2004-11-14,1567.3,1332.2,4,3,0,0,0,0,0,0,0,0,1,2,235,235
FZM,"Marco FERNANDEZ",Spain,0,1,2004-11-13,2004-11-14,1519.5,1291.5,4,2,0,0,0,0,0,0,0,0,1,1,227,227
MOJ,"Jeremie MAMO",France,0,1,2004-11-13,2004-11-14,1503.9,1268.1,4,2,0,0,0,0,0,0,0,0,1,1,223,223
PLR,"Ramon POVILL",Spain,0,0,2004-11-13,2009-11-25,1506.8,1223.5,13,5,0,0,2,2,1,0,2,2,1,1,215,215
SKE,"Eric SIWCZAK",France,0,1,2004-11-13,2005-03-27,1500,1153,8,0,2,0,2,0,0,0,4,0,1,1,203,203
MOS,"Santi MORENO",Spain,0,1,2004-11-13,2009-11-25,1511.4,1234.2,10,4,2,1,0,0,3,1,0,0,1,2,217,217
SKK,"Keith SPURLOCK",USA,1,0,2005-01-01,2024-01-13,1675.9,1514.9,133,68,14,4,7,2,10,3,13,5,0,6,0,0
RET,"Thierry REMACLE",France,0,1,2005-01-30,2005-01-30,1500,1272.1,2,1,0,0,0,0,0,0,0,0,0,1,224,224
BEO,"Ole BøE",Norway,0,1,2005-02-01,2005-02-01,1530.5,1300.9,5,2,0,0,1,0,0,0,1,0,0,3,229,229
LIM,"Marco LOMBARDI",Italy,0,1,2005-02-01,2005-02-01,1500,1262.2,5,2,0,0,0,0,0,0,0,0,2,2,222,222
SHR,"Ran SHILOAH",Israel,1,0,2005-02-01,2023-03-05,1565.4,1543,45,24,7,3,4,2,6,2,7,5,0,5,0,216
KND,"David KALMAN",Israel,0,0,2005-02-01,2019-02-28,1500,1334.7,25,9,2,1,3,2,5,3,0,0,0,3,201,201
COE,"Enrico CATANZARO",Italy,0,0,2005-02-01,2019-09-03,1752.6,1598.1,125,72,29,18,40,22,34,20,44,24,0,8,250,75
POS,"Sergio PUZZIELLO",Italy,1,0,2005-02-01,2023-06-11,1525.4,1446.4,87,35,29,10,31,14,29,12,34,14,1,5,0,24
SCF,"Flemming SCOTT CHRISTENSEN",Denmark,1,0,2005-02-01,2024-03-03,1512.2,1236.7,30,8,2,0,12,5,8,4,3,0,2,2,0,201
VTK,"Karl VON VOIGHT",USA,0,1,2005-02-06,2008-02-22,1500,1137.5,8,0,3,0,5,0,5,0,3,0,0,0,200,200
RGL,"Larry ROHLFING",USA,1,0,2005-02-06,2024-06-17,1638.6,1638.6,96,55,46,28,43,23,43,26,48,26,4,8,0,0
CHM,"Mark CROUCH",USA,0,1,2005-02-06,2005-02-06,1500,1201.4,5,1,3,0,2,1,4,1,1,0,0,1,212,212
G1K,"Kendall GRIFFITHS",USA,0,1,2005-02-06,2006-02-26,1500,1207.5,6,1,1,0,4,1,4,1,2,0,0,1,213,213
0NT,"Ted CABEEN",USA,0,1,2005-02-06,2007-02-23,1500,1244.8,4,1,2,1,2,0,3,1,1,0,0,1,219,219
YNF,"Fen YAN",USA,0,1,2005-02-06,2005-02-06,1500,1256,1,0,0,0,1,0,0,0,1,0,0,0,221,221
GMR,"Bob GRAHAM",USA,0,0,2005-02-06,2008-02-22,1543.1,1230.2,18,8,8,4,10,4,9,4,9,4,0,2,217,217
6Y6,"Murray MCCLOSKEY",Australia,0,0,2005-02-06,2018-12-20,1510.8,1343.4,78,28,32,12,36,13,45,18,31,9,0,3,210,210
L1M,"Mike LAWS",USA,0,1,2005-02-06,2005-02-06,1500,1252.3,1,0,1,0,0,0,0,0,1,0,0,0,221,221
WNO,"John IV WORDEN",USA,0,0,2005-03-11,2018-04-06,1500,1315.8,33,15,12,5,7,2,5,2,14,5,2,5,216,126
PAM,"Michael PIERZCHALA",USA,0,0,2005-03-11,2017-04-02,1525,1069.8,127,37,34,17,41,11,37,15,38,13,0,3,185,165
BSR,"Ernie BARTIS",USA,0,1,2005-03-11,2005-03-13,1500,1249.5,5,2,2,1,3,1,2,0,3,2,0,2,220,220
ANC,"Scott ALLAN",USA,0,0,2005-03-11,2010-03-20,1555.6,1155.1,27,9,4,1,17,7,10,5,11,3,0,3,203,203
BRL,"Nigella BLAIR",UK,1,0,2005-03-25,2024-06-22,1500,1176.1,311,106,73,21,97,37,111,32,105,39,1,5,0,93
MRA,"Andy MCMASTER",UK,0,0,2005-03-25,2008-08-01,1500,1183.7,11,3,0,0,1,1,1,1,0,0,1,1,208,208
GHR,"Russell GOUGH",UK,0,1,2005-03-25,2006-03-12,1508.3,1240.7,10,4,0,0,0,0,0,0,0,0,0,1,218,218
MISSING-12,Missing-12,,0,0,2005-03-25,2021-12-03,1525.5,1196.5,45,19,4,1,0,0,2,0,2,1,0,2,0,212
DRP,"Phil DRAPER",UK,1,0,2005-03-25,2022-12-04,1703.7,1453.5,65,35,3,0,1,1,1,0,3,1,0,9,0,108
GNT,"Tony GIBSON",UK,1,0,2005-03-25,2023-11-18,1589.1,1465.8,72,38,8,3,13,8,19,12,18,7,0,4,0,192
PDI,"Ian POLLARD",UK,1,0,2005-03-25,2023-06-25,1500.1,1428.6,110,47,8,2,22,8,30,10,40,18,3,5,0,0
HDM,"Malcolm HATFIELD",UK,0,0,2005-03-25,2019-06-23,1567.8,1352.4,30,14,8,4,4,3,10,6,5,2,0,3,215,84
SEM,"Mike STANBRIDGE",UK,0,1,2005-03-25,2005-03-27,1500,1251.7,5,2,0,0,0,0,0,0,0,0,0,1,220,220
KYW,"Wayne KELLY",UK,0,1,2005-03-25,2005-03-27,1550.7,1301.6,5,3,0,0,0,0,0,0,0,0,0,2,229,229
MSA,"Adrian MADDOCKS",UK,0,1,2005-03-25,2005-03-27,1500,1210.1,5,1,0,0,0,0,0,0,0,0,0,1,213,213
BET,"Tim BUNCE",UK,1,0,2005-03-25,2024-06-23,1763.8,1469.7,57,39,2,1,2,1,7,4,2,1,1,10,0,250
SYR,"Robert SEENEY",UK,0,1,2005-03-25,2005-03-27,1500,1162.9,5,0,0,0,0,0,0,0,0,0,0,0,205,205
CWB,"Billy CARSLAW",UK,0,1,2005-03-25,2005-03-27,1533.8,1303.7,5,3,0,0,0,0,0,0,0,0,1,2,230,230
CEP,"Paul CASE",UK,0,0,2005-03-25,2020-03-06,1518.8,1416.9,49,19,4,1,8,3,15,6,9,3,0,3,221,57
DSM,"Michael DAVIES",UK,0,0,2005-03-25,2019-11-21,1676.2,1577.1,77,46,10,9,14,8,18,13,29,16,0,6,246,69
BRN,"Neil BRUNGER",UK,1,0,2005-03-25,2023-11-18,1500,1469,87,33,8,3,17,8,30,13,24,10,0,3,0,0
MHD,"Dominic MCGRATH",UK,0,0,2005-03-25,2020-06-28,1764,1496.2,90,56,20,12,7,4,22,10,21,13,0,13,231,45
VAM,"Martin VICCA",UK,1,0,2005-03-25,2023-11-18,1807.3,1807.3,127,81,28,17,24,12,33,23,43,27,3,10,0,0
SDD,"Dave SCHOFIELD",UK,0,0,2005-03-25,2012-10-28,1708.6,1426.3,32,24,3,2,2,2,2,1,3,3,1,8,251,251
CLJ,"Jean-Philippe CALVIN",France,0,1,2005-03-26,2005-03-27,1500,1221.8,4,1,0,0,4,1,2,1,2,0,0,1,215,215
OSF,"Frédéric ORMIèRES",France,0,1,2005-03-26,2005-03-27,1500,1212.1,4,0,1,0,3,0,1,0,3,0,1,1,213,213
HUJ,"Joël HERBELLEAU",France,0,0,2005-03-26,2016-05-15,1578.8,1392.9,36,17,14,6,20,11,15,6,19,11,2,5,235,235
TYS,"Stephan TASKY",France,0,0,2005-03-26,2022-06-05,1511.9,1389.9,74,29,21,7,35,14,29,9,28,12,2,2,0,108
BSF,"Frédéric BENOIS",France,1,0,2005-03-26,2023-04-01,1525,1414.1,65,23,16,6,25,11,26,11,22,9,0,2,0,69
BTA,"Arnaud BRISSET",France,0,1,2005-03-27,2006-06-04,1514.4,1273.1,10,4,0,0,2,1,1,0,1,1,0,2,224,224
PSD,"Daniel PIERRES",France,0,0,2005-03-27,2006-06-04,1500,1244.8,11,3,1,0,0,0,0,0,1,0,0,3,219,219
AAR,"Rob ARRIETA",USA,1,0,2005-04-29,2024-06-17,1556.1,1475.3,146,57,51,17,51,22,50,21,58,22,1,5,0,0
MISSING-1,Missing-1,,1,0,2005-04-29,2023-11-05,1524.8,1248.5,53,21,5,2,16,6,13,5,8,3,0,4,0,228
RNB,"Ben RICHARDSON",USA,0,0,2005-04-29,2012-04-22,1667.8,1394,53,33,17,9,24,16,22,10,20,15,0,4,246,246
HNI,"Craig HOULISTON",USA,1,0,2005-04-29,2023-09-01,1749.5,1724.1,146,84,63,31,69,42,68,39,69,38,3,6,0,0
OTM,"Matt OZVAT",USA,0,0,2005-04-29,2005-12-04,1501.6,1208.2,13,4,6,2,7,2,7,2,6,2,0,1,213,213
POT,"Steve PESKLO",USA,0,1,2005-04-29,2005-04-30,1500,1255.2,5,2,3,1,2,1,3,1,2,1,0,2,221,221
MNB,"Brien MARTIN",USA,0,1,2005-04-29,2005-05-01,1503,1194.5,6,1,1,0,5,1,2,1,4,0,0,1,210,210
MLS,"Steve MCNEIL",USA,0,0,2005-04-29,2009-04-05,1500,1075.6,25,5,7,1,16,4,14,3,11,2,0,3,189,189
SSE,"Ethan STRAUSS",USA,0,0,2005-04-29,2007-04-15,1566.2,1273.4,21,10,14,7,7,3,11,7,10,3,0,4,224,224
WSB,"Bryan WILLS",USA,0,0,2005-04-29,2008-04-05,1521.3,1221.2,26,11,12,6,13,5,15,7,11,4,0,5,215,215
JST,"Todd JONES",USA,0,0,2005-04-29,2007-04-15,1568.7,1283.9,19,10,10,5,9,5,13,8,6,2,1,4,226,226
GSK,"Kevin GRAVES",USA,0,0,2005-04-29,2010-10-09,1607.1,1319.4,40,21,21,11,16,9,16,6,24,15,0,4,232,232
ESO,"Corey EDWARDS",USA,0,0,2005-04-29,2019-04-01,1566.8,1454.5,70,37,15,7,15,8,12,5,18,10,1,4,231,126
CNS,"Scott COCHRAN",USA,0,0,2005-04-29,2008-08-31,1726.1,1453.5,18,14,9,7,9,7,10,7,8,7,3,5,256,256
FXR,"Robert FOX",USA,0,1,2005-04-30,2005-04-30,1500,1223.9,2,0,1,0,1,0,1,0,1,0,0,0,215,215
LIG,"Guilhem LARIGAUDERIE",France,0,1,2005-05-14,2006-06-04,1500,1236.6,9,3,0,0,0,0,0,0,0,0,1,1,218,218
MLR,"Rémi MARJOREL",France,0,1,2005-05-14,2005-05-14,1500,1255.9,1,0,0,0,0,0,0,0,0,0,0,0,221,221
1RJ,"John SCHNEIDER",USA,1,0,2005-07-29,2022-10-08,1500,1355.1,36,12,6,2,9,3,16,5,17,5,1,2,0,202
RLJ,"John ROCKWELL",USA,0,0,2005-07-30,2013-04-14,1500,909.6,50,3,17,1,14,1,17,1,15,1,0,1,160,160
ANG,"Göran ANDERSSON",Sweden,0,0,2005-08-26,2019-02-28,1500,1243.8,104,33,29,7,23,8,28,9,21,7,2,2,200,93
LRE,"Erik LEANDER",Sweden,0,0,2005-08-26,2017-10-09,1654.6,1464.2,101,48,23,12,28,12,18,5,34,19,0,4,241,150
GEH,"Henrik GIESE",Sweden,0,1,2005-08-26,2006-08-26,1500,1213.8,6,1,0,0,0,0,0,0,0,0,0,1,214,214
NLJ,"Jurgen NAGEL",Netherlands,0,1,2005-09-15,2006-09-23,1503.3,1229.2,8,3,0,0,1,0,1,0,0,0,0,2,216,216
VAA,"Maarten VEENSTRA",Netherlands,0,1,2005-09-15,2006-09-24,1527.9,1298.7,9,5,0,0,0,0,0,0,0,0,4,4,229,229
SED,"Don STONE",USA,0,1,2005-09-15,2006-03-18,1500,1194.5,6,1,0,0,0,0,0,0,0,0,0,1,210,210
BTR,"Arnaud BERT",France,0,1,2005-09-15,2005-09-17,1500,1252.4,5,2,1,0,0,0,1,0,0,0,1,1,221,221
ETS,"Steve ECKHART",USA,0,0,2005-10-01,2009-09-06,1568.2,1333,17,10,7,4,8,5,9,6,8,4,2,3,235,235
JJJ,"John Jr. JOHNS",USA,0,0,2005-10-04,2007-10-05,1621.1,1331.9,11,7,4,2,6,4,4,3,7,4,0,4,235,235
SMW,"William SCHRAMM",USA,0,1,2005-10-04,2005-10-08,1500,1187.1,10,3,7,2,3,1,2,1,8,2,1,1,209,209
ORB,"Bob O'CONNOR",USA,0,1,2005-10-05,2005-10-07,1500,1251.2,4,1,1,0,3,1,0,0,4,1,0,1,220,220
