"Player Code",Name,Country,Active,Provisional,"First Game","Last Game",Highest,Rating,GP,Won,"GP Att","Attack Wins","GP Def","Def Wins","GP Axis","Axis Wins","GP Allies","Allies Wins","Cur Streak","Longest Strk","Max. Decay","Decay to date"
TLJ,"Jes TOUVDAL",Denmark,0,0,2000-02-25,2020-03-01,1734.9,1597.7,111,70,9,5,10,5,9,4,11,6,3,8,248,57
RNR,"Rene Yssing RASMUSSEN",Denmark,0,0,2000-02-25,2005-02-01,1502.5,1236.8,29,11,1,0,1,0,1,0,1,0,0,2,218,218
SuM1,"Michael Sachau",Germany,0,1,2000-02-25,2000-02-26,1500,1233.7,2,0,1,0,1,0,1,0,1,0,0,0,217,217
HNM,"Michael HEMMINGSEN",Denmark,1,0,2000-02-26,2024-03-03,1620.5,1547.5,54,31,7,4,4,2,8,4,1,0,1,5,0,219
PGT,"Toby PILLING",UK,1,0,2000-02-26,2023-11-18,1961.1,1954,154,129,16,13,26,21,24,20,31,26,5,36,0,0
SNR,"Roger SJöGREN",Sweden,0,0,2000-02-26,2008-09-21,1647,1326.2,65,32,8,4,11,3,8,2,12,5,2,6,232,232
KRL,"Lars KLYSNER",Denmark,0,0,2000-02-26,2012-02-26,1617.4,1270.4,58,26,14,6,12,6,10,5,17,7,0,6,224,224
VTP,"Philippe VAILLANT",France,0,0,2000-02-26,2021-09-16,1566.1,1421.6,35,16,7,2,6,3,8,2,5,3,0,4,213,223
HRM,"Magnus HINDSBERGER",Denmark,0,0,2000-02-26,2005-02-01,1500,1237.2,28,10,1,0,1,0,0,0,2,0,0,3,218,218
LLC,"Christopher LIEWENDAHL",Sweden,0,0,2000-02-26,2013-05-10,1576.8,1359.9,26,15,1,1,2,1,1,1,2,1,2,3,203,228
SNJ,"Johan SAHLIN",Sweden,0,0,2000-02-27,2021-05-02,1661.7,1556.1,101,53,25,12,23,11,45,21,19,9,0,4,235,15
CER,"Richie CROWE",USA,0,0,2000-03-31,2016-12-03,1570.1,1357.7,60,29,14,6,26,15,18,12,24,10,0,4,222,222
ASI,"Nick AVTGES",USA,0,1,2000-03-31,2000-04-01,1500,1261,3,1,0,0,3,1,2,1,1,0,0,1,222,222
PAS,"Steve PLEVA",USA,1,0,2000-03-31,2024-06-17,2061.5,2037.5,291,258,121,109,77,69,105,87,97,95,0,30,0,0
SLC,"Chris SPELL",USA,0,0,2000-03-31,2013-12-08,1704.5,1379.4,92,53,38,20,40,27,39,22,40,25,0,5,243,243
RSO,"John RICHARDS",USA,0,0,2000-03-31,2018-04-07,1525,1266.3,57,20,24,8,18,7,22,10,20,5,2,2,208,126
FYM,"Martin FLAHERTY",USA,0,1,2000-03-31,2011-03-19,1500,1235.7,4,1,1,1,3,0,2,0,2,1,0,1,185,225
RAT,"Tom RUTA",USA,0,0,2000-03-31,2014-03-23,1525,1267.9,39,16,16,4,16,8,19,7,14,5,1,3,191,191
PYJ,"Jim POVEY",USA,1,0,2000-03-31,2023-12-02,1649.4,1636.8,107,54,8,4,17,8,17,9,13,6,0,6,0,212
TAG,"Gary TREZZA",USA,0,0,2000-03-31,2016-12-02,1813.1,1409.7,168,113,70,46,73,52,73,54,72,45,0,8,238,177
MrC1,"Chris Meyer","United States",0,0,2000-03-31,2022-05-01,1503.5,1294.8,21,7,5,2,4,1,6,4,5,0,1,2,0,201
HBM,"Michael HOLUB",USA,0,1,2000-03-31,2001-03-25,1500,1170.1,8,1,2,0,4,1,5,1,3,0,0,1,206,206
MSB,"Brian MARTUZAS",USA,1,0,2000-03-31,2022-10-05,1591,1545.6,59,31,16,9,15,8,20,10,11,7,0,5,0,234
LNK,"Kevin LOIGNON",USA,0,1,2000-03-31,2001-03-25,1500,1191.9,9,2,5,1,3,0,6,1,3,1,0,1,210,210
WXT,"Ted WILCOX",USA,1,0,2000-03-31,2024-08-03,1500,1287.5,207,70,85,27,58,21,74,29,79,22,0,4,0,0
CNB,"Bruce CARSON",USA,0,0,2000-03-31,2008-03-16,1616.4,1346.7,20,14,6,4,9,7,6,5,12,8,0,5,237,237
HY3,"Alan HALEY",USA,0,1,2000-03-31,2000-04-02,1500,1235.3,4,1,2,0,2,1,2,0,2,1,0,1,218,218
DLI,"Michael DANIEL",USA,0,0,2000-03-31,2010-10-09,1555.1,1277,19,7,9,4,6,2,9,2,6,4,0,3,199,199
DND,"Derek DUNN",USA,0,0,2000-03-31,2021-09-26,1525,1287.9,31,12,11,4,12,7,16,8,13,4,1,2,193,213
CED,"Andy CLARKE",USA,0,0,2000-03-31,2012-03-24,1600.1,1292.5,50,27,20,13,22,10,18,11,26,13,1,3,226,226
FOC,"Carl FAGO",USA,0,0,2000-03-31,2001-10-06,1600.2,1287.4,11,6,5,2,6,4,8,5,3,1,1,4,227,227
FXB,"Burnie FOX",USA,0,0,2000-03-31,2013-04-27,1662.2,1312.2,43,25,24,15,10,6,25,14,12,9,0,9,225,225
FRE,"Seth FANCHER",USA,0,0,2000-03-31,2005-03-13,1500,1207.2,11,3,6,2,5,1,4,1,7,2,2,2,207,207
GDD,"Dave GINNARD",USA,1,0,2000-03-31,2024-07-28,1764.4,1719.1,279,149,70,37,82,43,99,53,86,42,0,8,0,0
SNA,"Brian SULLIVAN",USA,1,0,2000-03-31,2023-12-01,1589.3,1567.3,121,55,36,16,28,12,32,14,33,15,2,4,0,0
GIO,"Joseph GOCHINSKI",USA,0,0,2000-03-31,2014-03-22,1546.8,1182.6,57,22,18,10,19,6,16,5,24,12,0,3,208,208
HE,"H HARDIE",USA,0,1,2000-03-31,2000-04-01,1500,1235.5,4,1,1,0,3,1,3,0,1,1,1,1,218,218
HDA,"Andy HOWARD",USA,0,0,2000-03-31,2018-04-07,1551.7,1253.9,63,26,23,8,26,11,30,14,23,7,0,4,206,126
RAE,"Eric ROBIDA",USA,0,1,2000-03-31,2008-10-01,1500,1354.3,10,5,5,1,5,4,3,2,7,3,2,2,208,208
JNB,"Bob Kedge JOHNSON",USA,1,0,2000-03-31,2023-12-03,1500,1375.5,189,59,53,15,38,12,40,13,56,16,0,4,0,0
33M,"Mike RIEDER",USA,0,1,2000-04-01,2000-04-01,1500,1249.1,3,1,3,1,0,0,2,0,1,1,0,1,220,220
HYR,"Rick HALEY",USA,0,1,2000-04-01,2000-04-02,1500,1270.4,4,2,2,0,2,2,2,0,2,2,0,1,224,224
H5R,"Robert HARDWAY",USA,0,1,2000-04-02,2000-04-02,1500,1249,1,0,1,0,0,0,0,0,1,0,0,0,220,220
7SJ,"Jim DAUPHINAIS",USA,0,0,2000-07-28,2006-07-29,1525,1192.5,21,7,8,5,12,2,12,4,9,3,0,2,210,210
SSW,"William SANDERS",USA,0,0,2000-07-28,2014-07-25,1546.1,1247.8,120,51,42,19,41,16,43,20,49,18,1,3,220,220
BRT,"Tim BORDER",USA,0,0,2000-07-28,2004-07-24,1541.1,1288.2,19,10,9,5,9,4,9,3,10,7,1,5,227,227
ENS,"Shawn ETTLEMAN",USA,0,0,2000-07-28,2009-07-26,1579.3,1230.1,68,32,25,10,36,19,36,19,26,11,1,4,217,217
BRS,"Steve BRASSEUR",USA,0,0,2000-07-28,2017-07-28,1635.3,1376.9,35,24,14,9,8,7,10,6,13,11,2,6,206,236
B2J,"Jim (Sr.) BURRIS SR",USA,0,0,2000-07-28,2007-07-29,1500,1150.3,41,14,18,7,22,6,20,4,21,10,0,2,203,203
BYG,"Gary BRADLEY",USA,1,0,2000-07-28,2024-07-27,1525,1340.8,99,38,25,8,40,19,49,16,48,22,0,3,0,72
BSI,"Jim (Jr.) BURRIS",USA,1,0,2000-07-28,2024-07-27,1808.5,1789.7,183,132,66,47,72,54,72,52,80,62,1,11,0,0
KKD,"Doug KIRK",USA,1,0,2000-07-28,2024-07-28,1836.7,1752.3,319,204,111,64,116,81,123,70,136,94,0,9,0,0
WSC,"Craig WALTERS",USA,1,0,2000-07-28,2024-07-27,1647.4,1568.4,124,62,37,17,40,22,51,27,61,29,2,3,0,0
VNW,"Wes VAUGHN",USA,1,0,2000-07-28,2024-07-28,1909.6,1833.6,496,360,150,107,168,124,206,148,166,121,0,12,0,0
KZK,"Kurt KURTZ",USA,0,0,2000-07-28,2007-10-05,1594,1297.6,59,30,24,13,25,12,34,17,18,8,0,6,229,229
AID,"Dave ANGRISANI",USA,0,0,2000-07-28,2007-10-06,1568.1,1156.2,60,24,24,11,26,10,21,11,31,12,1,4,204,204
SRP,"Paul SCHAEFFER",USA,1,0,2000-07-28,2023-10-07,1669.5,1546.9,121,64,34,22,32,17,49,29,43,21,0,7,0,201
H2S,"Steve HARMON",USA,0,0,2000-07-28,2007-07-29,1525,1201.4,29,11,13,5,13,5,13,4,16,7,0,2,212,212
WN6,"Joe WILSON",USA,0,0,2000-07-28,2005-10-05,1522.2,1293.1,20,10,15,6,5,4,10,6,10,4,1,2,228,228
12C,"Chuck STAPLETON",USA,0,1,2000-07-29,2000-07-29,1500,1250.6,3,1,2,1,1,0,0,0,3,1,1,1,220,220
LDM,"Mitch LAND",USA,0,1,2000-07-29,2000-07-29,1500,1208.1,3,0,1,0,2,0,2,0,1,0,0,0,213,213
ALC,"Cloyde ANGELL",USA,0,0,2000-08-19,2004-02-06,1625,1353.7,29,19,22,14,6,4,12,9,17,10,0,5,238,238
1NM,"Mike SENGOTTAIYAN",USA,1,0,2000-08-19,2024-06-13,1554.4,1425.2,22,13,6,5,7,3,11,7,11,6,4,4,0,233
FKS,"Scott FAULK",USA,0,0,2000-08-19,2002-02-01,1500,1143.3,14,3,3,0,10,3,6,3,8,0,0,1,201,201
ONC,"Chris OLDEN",USA,0,0,2000-08-19,2002-02-01,1500,1186.6,13,4,5,1,8,3,9,4,4,0,1,1,209,209
TN2,"Scott THOMPSON",USA,0,0,2000-08-19,2009-08-31,1580.6,1312.2,69,29,25,15,40,12,33,13,35,16,1,5,231,231
CLT,"Thomas CAMPBELL",USA,0,1,2000-08-19,2002-02-01,1500,1218.3,10,3,5,2,3,1,6,3,4,0,2,2,215,215
KSJ,"John KNOWLES",USA,0,0,2000-08-19,2020-02-29,1547.6,1488.7,38,19,9,3,6,3,22,11,16,8,1,4,226,226
ELB,"Bryan EARLL",USA,0,0,2000-08-19,2008-02-22,1600.6,1360.5,32,18,15,10,16,7,14,9,17,8,2,5,240,240
MRR,"Ron MOSHER",USA,0,0,2000-08-19,2009-10-07,1534.6,1237,73,32,35,16,36,16,40,16,33,16,0,3,218,218
HKD,"Don HANCOCK",USA,0,1,2000-08-19,2000-08-19,1550,1317.5,6,4,3,2,2,1,3,1,3,3,3,3,232,232
P1D,"Don PETROS",USA,0,0,2000-08-19,2007-02-23,1550,1184.5,12,3,7,2,4,1,10,3,2,0,0,3,202,202
FRH,"Herman FRETTLOHR",usa,0,0,2000-08-19,2006-02-26,1856.2,1577.7,57,48,22,22,32,24,36,31,20,17,8,10,278,278
LGM,"Mr. LONG",USA,0,1,2000-08-19,2000-08-19,1500,1275,6,3,1,1,3,1,4,2,2,1,3,3,225,225
RNK,"Kevin RYAN",USA,0,0,2000-08-19,2015-10-08,1611.1,1309.7,46,26,16,12,23,11,22,12,23,14,0,6,218,218
M2E,"Eric MORTON",USA,0,0,2000-08-19,2008-02-22,1623.1,1327.9,49,28,25,16,19,9,22,16,27,12,2,8,234,234
DSD,"Doug DEMOSS",USA,0,1,2000-08-19,2000-08-19,1575,1338.7,7,5,2,2,4,2,5,4,2,1,1,4,236,236
BNR,"Russ BUNTEN",USA,0,0,2000-08-19,2015-05-02,1651,1367.5,16,11,8,7,6,4,9,7,6,4,0,9,205,245
HD3,"Robert HAMMOND",USA,1,0,2000-08-19,2023-12-03,1600,1431.3,38,21,9,6,5,3,13,9,11,6,2,6,0,234
NSM,"Mr. NEIGHBORS",USA,0,1,2000-08-19,2000-08-19,1500,1275,4,2,1,1,1,1,1,1,2,1,1,1,225,225
COM,"Matthew CICERO",USA,0,0,2000-08-19,2008-02-22,1733.6,1425,44,33,22,16,20,17,28,21,16,12,1,6,251,251
LRB,"Brandon LIESEMEYER",USA,0,0,2000-08-19,2020-02-27,1758.5,1505.4,39,30,18,14,20,15,21,16,17,13,0,13,225,263
ATC,"Chas ARGENT",USA,0,0,2000-08-19,2021-04-26,1640.6,1421.8,151,74,56,18,68,42,52,25,77,39,0,5,215,45
1S1,"Steve SVARE",USA,0,0,2000-08-19,2002-02-01,1500,1155.8,11,2,3,0,6,1,4,0,7,2,0,1,203,203
92J,"James WARREN",USA,0,1,2000-08-19,2004-02-06,1501.8,1237.6,6,2,2,1,4,1,3,1,3,1,0,1,218,218
CA0,"Chris CASTELLANA",USA,0,0,2000-08-19,2007-02-23,1518,1215.6,33,14,20,6,12,7,16,5,17,9,1,2,214,214
PNM,"Mark PETERSON",USA,0,1,2000-08-19,2000-08-19,1500,1253.7,1,0,0,0,1,0,0,0,1,0,0,0,221,221
ASJ,"Jim AIKENS",USA,1,0,2000-08-19,2023-10-07,1604.6,1437.2,127,64,51,29,49,24,48,28,55,26,0,6,0,33
22C,"Chris NIELSEN",USA,0,0,2000-08-19,2022-06-16,1600,1426.5,12,9,3,2,5,4,7,6,5,3,4,5,0,227
PAD,"Dan PLACHTA",USA,1,0,2000-08-19,2024-04-20,1686.1,1523.1,105,57,27,16,41,25,32,15,44,29,0,10,0,114
RGD,"Dave REINKING",USA,1,0,2000-08-19,2024-06-13,1621,1617.7,90,44,20,6,35,19,43,21,37,18,2,7,0,120
FTR,"Ronald FAJARIT",USA,0,1,2000-08-19,2001-02-04,1500,1190.1,10,2,6,2,4,0,8,2,2,0,0,1,210,210
CSC,"Chad CUMMINS",usa,1,0,2000-08-19,2024-08-25,1833.7,1789.7,85,55,36,21,27,19,33,20,30,20,2,7,0,108
CZD,"Dave CREUTZ",USA,0,0,2000-08-19,2001-02-04,1651.5,1403.7,11,8,3,1,8,7,7,5,4,3,7,7,247,247
NSD,"David NICHOLAS",USA,1,0,2000-08-19,2024-04-20,1570.3,1363.2,67,27,18,8,17,8,20,9,23,12,2,5,0,232
TMF,"Fred TIMM",USA,0,0,2000-08-19,2008-02-22,1692.7,1438.7,76,48,45,28,27,19,38,22,37,26,1,8,253,253
RRD,"David ROSNER",USA,1,0,2000-08-19,2023-04-17,1500,1279.7,113,30,61,15,36,10,47,14,56,14,0,2,0,0
JNE,"Eric JOHNSON",usa,0,0,2000-08-19,2011-09-01,1563.9,1315.8,47,26,17,9,28,15,19,12,28,14,3,5,232,232
35M,"Matt ROMEY",USA,0,0,2000-08-19,2007-02-23,1628.6,1302.7,34,20,17,10,16,10,16,11,18,9,0,3,229,229
SAH,"Michael SHEA",USA,0,0,2000-08-19,2019-06-16,1500,1287.1,39,16,14,7,13,6,18,8,11,5,0,4,205,135
J2K,"Karl JOHNSON",USA,0,1,2000-08-19,2002-02-01,1500,1188.5,6,1,4,1,2,0,2,1,4,0,0,1,209,209
B3S,"Sam BELCHER",USA,0,0,2000-08-19,2020-11-07,1555.3,1436.3,86,34,28,11,22,6,28,10,27,9,0,6,220,129
SIR,"Rob STAI",USA,0,0,2000-08-19,2008-02-22,1536.6,1254.6,59,29,23,13,33,13,28,16,30,12,3,4,221,221
DNE,"Steve DETHLEFSEN",USA,0,0,2000-08-19,2004-10-09,1506.6,1230.5,18,7,7,2,10,4,9,4,9,3,0,2,217,217
LZR,"Richard LOPEZ",USA,0,0,2000-08-19,2002-02-01,1537,1306.4,12,7,7,4,5,3,7,5,5,2,1,3,230,230
RDS,"Sheldon RYLAND",USA,0,0,2000-08-19,2007-02-23,1793.9,1524.8,50,39,27,23,21,15,20,18,29,20,5,7,269,269
FNR,"Robert FEINSTEIN",USA,0,0,2000-08-19,2019-06-30,1738,1635.6,114,69,49,26,52,33,59,37,51,29,1,10,257,81
412,"Steve TREATMAN",USA,0,0,2000-08-19,2005-02-06,1500,1166.4,28,6,16,2,11,3,12,1,15,4,0,3,205,205
H7C,"Charles HAMMOND",USA,1,0,2000-08-19,2024-07-28,1669.6,1639.1,93,45,36,18,33,16,47,23,40,19,0,9,0,66
1NR,"Richard SHANNON",USA,0,1,2000-08-19,2000-08-19,1500,1253.7,5,2,1,0,3,1,2,0,3,2,1,1,221,221
SH3,"Bob SMITH",USA,0,0,2000-08-19,2001-02-04,1500,1251.3,12,5,4,2,8,3,9,4,3,1,0,4,220,220
HLD,"david HAASL",USA,1,0,2000-08-19,2023-09-01,1500,1454.9,49,22,19,7,22,10,21,11,26,10,1,4,0,211
KY3,"Rodney KINNEY",USA,0,1,2000-08-19,2015-02-07,1525,1348.7,10,6,5,4,2,1,4,3,3,2,1,3,202,228
VNE,"Eric VAN HORN",USA,0,1,2000-08-19,2000-08-19,1500,1253.7,5,2,2,1,2,1,2,1,3,1,0,1,221,221
1NP,"Paul SIMONSEN",USA,0,0,2000-08-19,2008-02-22,1609.1,1273.7,59,28,29,11,28,16,32,17,27,11,1,4,224,224
VIE,"Eric VISNOWSKI",USA,0,0,2000-08-19,2008-02-22,1524.7,1292.5,48,21,19,7,25,13,24,12,23,9,1,4,228,228
AAB,"Brian ABELA",USA,0,0,2000-08-19,2020-02-08,1553.4,1341.4,14,6,3,1,3,3,3,2,3,2,0,2,201,233
22S,"stance NIXON",USA,0,0,2000-08-19,2008-02-22,1500,1147.5,25,5,15,1,10,4,12,3,13,2,0,2,202,202
KYB,"Bruce KIRKALDY",USA,0,0,2000-08-19,2008-02-22,1625,1293.8,22,12,7,3,9,8,10,6,6,5,0,7,221,221
POR,"Roger PETRONZIO",USA,0,1,2000-08-19,2000-08-19,1500,1253.7,1,0,1,0,0,0,0,0,1,0,0,0,221,221
COW,"Bill CIRILLO",USA,1,0,2000-10-05,2024-08-04,2055.1,2025.1,239,190,77,66,97,75,98,81,81,65,5,22,0,0
TrJ1,"James Taylor",USA,1,0,2000-10-05,2023-10-06,1771.2,1698.7,62,44,12,6,0,0,16,10,9,6,0,11,0,228
SN3,"Neil STANHAGEN",usa,1,0,2000-10-05,2024-07-13,1878.3,1837.6,191,126,48,31,57,37,49,35,67,40,0,9,0,0
BNO,"Bob BROWN",USA,0,0,2000-10-06,2019-04-01,1500,1103.3,85,13,22,3,17,2,20,3,19,2,2,2,179,90
HRH,"Harold HESSLER",USA,0,0,2000-10-06,2002-10-12,1573.9,1337.8,11,7,6,3,5,4,6,5,5,2,5,5,236,236
JN3,"Joe JACKSON",USA,0,1,2000-10-07,2001-10-07,1502.8,1276.3,4,2,2,1,2,1,3,1,1,1,1,1,225,225
SN2,"Eric SAFRAN",usa,1,0,2000-10-07,2022-10-05,1500,1243.8,55,16,24,6,21,7,25,6,24,7,0,3,0,144
LIT,"Tuomo LUKKARI",Finland,1,0,2001-02-01,2024-08-25,1633.3,1522.3,106,54,42,20,34,21,44,24,25,12,2,8,0,195
MGP,"Patrik MANLIG",Sweden,0,0,2001-02-01,2018-05-03,1797.2,1608,100,68,28,16,21,15,33,22,29,19,0,10,259,123
HNP,"Patrik HYVäRINEN",Sweden,0,0,2001-02-01,2018-05-02,1737.8,1589.4,44,29,8,6,9,6,10,7,13,9,0,6,247,247
NDJ,"Jakob NøRGAARD",Denmark,0,0,2001-02-01,2012-02-25,1500,1300.1,39,15,3,1,3,2,4,1,2,2,2,4,216,216
FNC,"Carl Alex FRISS NIELSEN",Denmark,1,0,2001-02-01,2023-03-05,1509.8,1468.6,97,41,14,7,13,6,13,5,13,6,0,4,0,0
MIC,"Chris MAZZEI",Switzerland,0,0,2001-02-01,2020-01-30,1752.5,1554,229,134,31,16,36,21,30,15,46,26,0,13,242,60
